slug,title,current_creator,connection_types,clicks,impressions,helena_tags,should_be_authored_by_helena,live_url
alcohol-canned-drinks-for-summer,5 Cracking Canned Drinks for the Summer,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/alcohol-canned-drinks-for-summer
ardbeg-whisky-dj-bbq,This Summer: The Smoke Sessions with Ardbeg Whisky and DJ BBQ,HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/ardbeg-whisky-dj-bbq
balance/mind-sense-soul-scent-aroma-benefits-of-aromatherapy-smell-practice,How scent can transform your wellbeing,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/balance/mind-sense-soul-scent-aroma-benefits-of-aromatherapy-smell-practice
balance/mind-sense-soul-write-journaling-how-creative-writing-journalling-helps-mental-health,"How writing a daily journal helps mental, emotional &amp; physical health",HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/balance/mind-sense-soul-write-journaling-how-creative-writing-journalling-helps-mental-health
beaujolais-wine-guide-gamay-grape-best-beaujolais-nouveau,Your ABC Guide to Beaujolais,HelenaNicklin,authored_by_her|inline_byline|image_mentions|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/beaujolais-wine-guide-gamay-grape-best-beaujolais-nouveau
best-affordable-white-wines-for-christmas,Affordable white wines for Christmas,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-affordable-white-wines-for-christmas
best-beer-lager-new-beers,"6 Marvellously Modern, New Beers",HelenaNicklin,authored_by_her|inline_byline|image_mentions|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-beer-lager-new-beers
best-boxed-wine-bag-in-box-wine,8 Reasons to Try Boxed Wine,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/best-boxed-wine-bag-in-box-wine
best-budget-champagne-expensive-champagne,From Budget to Blow-out: 7 Outstanding Champagnes,HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-budget-champagne-expensive-champagne
best-cbd-beverages-benefits-oto,CBD Beverages with Benefits,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-cbd-beverages-benefits-oto
best-celebrity-wines,Sip Like a Celeb: 13 Celebrity Wines Available Right Now,HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-celebrity-wines
best-cheap-bordeaux-wine,Thursday Club with Talk Radio: Accessible Bordeaux,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin|helena sips|helenasips,yes,https://www.thethreedrinkers.com/magazine-content/best-cheap-bordeaux-wine
best-cheap-champagne-tastes-good,Cheap Champagne that Tastes Great!,HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-cheap-champagne-tastes-good
best-chinese-wine-you-need-to-try,8 Fine Wines From China you Need To Try,helena@thethreedrinkers.com,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-chinese-wine-you-need-to-try
best-christmas-cocktails-gift-cocktails-delivery-cocktail,5 Brilliant Bottled Cocktails to Try this Christmas,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-christmas-cocktails-gift-cocktails-delivery-cocktail
best-christmas-gift-cognac-present,Delicious Cognac to Drink and Gift this Christmas,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-christmas-gift-cognac-present
best-christmas-gifts-luxury-gifts,Luxury Epicurean &amp; Sensory Gifts for a Perfect Christmas,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-christmas-gifts-luxury-gifts
best-christmas-red-wine-white-wine-rose-gift-champagne-present,Stunning Wines to Enjoy this Christmas,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-christmas-red-wine-white-wine-rose-gift-champagne-present
best-christmas-whisky-gift-whiskey-christmas-present,The Best Whisk(e)y to Gift for Christmas,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-christmas-whisky-gift-whiskey-christmas-present
best-cotes-du-rhone-wines,Thursday Club with Talk RADIO: Côtes-du-Rhône,helena@thethreedrinkers.com,authored_by_her|tagged_helena|image_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/best-cotes-du-rhone-wines
best-drinks-discoveries-for-summer-bryan-rodriguez,10 Top Drinks Discoveries for the Summer with Bryan Rodriguez,TheThreeDrinkers,image_mentions,0,0,,no,https://www.thethreedrinkers.com/magazine-content/best-drinks-discoveries-for-summer-bryan-rodriguez
best-drinks-for-romance-date-night-drinks-wine-vodka-gin,Perfect Drinks for Date Night,HelenaNicklin,authored_by_her|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/best-drinks-for-romance-date-night-drinks-wine-vodka-gin
best-drinks-with-curry,Alternative Drinks To Have With Curry,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/best-drinks-with-curry
best-english-sparkling-wines,English Sparkling Wines to Rival Champagne: Names You Need To Know,HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-english-sparkling-wines
best-french-rose-wine,7 Great French Rosé Wines for Summer,HelenaNicklin,authored_by_her|tagged_helena,123,55308,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/best-french-rose-wine
best-half-red-white-rose-wine-bottles,Mindful Drinking: Fine Wine in Half Bottles,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-half-red-white-rose-wine-bottles
best-irish-spirits-and-best-welsh-wine-and-welsh-cream-liqueur,TalkTV: Ireland vs Wales,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-irish-spirits-and-best-welsh-wine-and-welsh-cream-liqueur
best-mothers-day-presents-mothers-day-gift-guide-wine-cocktails-chocolate,Mother’s Day Gift Guide For Drinks Lovers,HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-mothers-day-presents-mothers-day-gift-guide-wine-cocktails-chocolate
best-no-low-drinks-uk-beer-spirits-wine,New No and Low Drinks for November,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-no-low-drinks-uk-beer-spirits-wine
best-places-to-drink-sherry-uk,21 Great Spots to Drink Sherry in the UK,HelenaNicklin,authored_by_her|image_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-places-to-drink-sherry-uk
best-rum-christmas-gift-present,The Best Rums To Gift For Christmas,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-rum-christmas-gift-present
best-scotch-whisky-cocktails-for-burns-night,Three Scotch Whisky Cocktails for Burns Night,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-scotch-whisky-cocktails-for-burns-night
best-spanish-wine-region-carinena,The Best Spanish Wine Region You Never Knew About: Cariñena,HelenaNicklin,authored_by_her|inline_byline|body_mentions,36,10490,,yes,https://www.thethreedrinkers.com/magazine-content/best-spanish-wine-region-carinena
best-whisky-and-chocolate-pairings,5 Epic Whisky and Chocolate Pairings&nbsp;,HelenaNicklin,authored_by_her|inline_byline|body_mentions,193,37013,,yes,https://www.thethreedrinkers.com/magazine-content/best-whisky-and-chocolate-pairings
best-whisky-cocktails-dalmore-mackenzie-highball-cocktail-recipe,The Dalmore Mackenzie Highball,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-whisky-cocktails-dalmore-mackenzie-highball-cocktail-recipe
best-whisky-cocktails-dalmore-old-fashioned-cocktail-recipe,The Dalmore Old Fashioned,HelenaNicklin,authored_by_her,138,3283,,yes,https://www.thethreedrinkers.com/magazine-content/best-whisky-cocktails-dalmore-old-fashioned-cocktail-recipe
best-whisky-cocktails-fettercairn-martini,The Fettercairn 1824 Martini,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-whisky-cocktails-fettercairn-martini
best-whisky-cocktails-fettercairn-tropical-highball,The Fettercairn Tropical Highball,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-whisky-cocktails-fettercairn-tropical-highball
best-whisky-cocktails-jura-sunset,The Jura Sunset,HelenaNicklin,authored_by_her,194,1997,,yes,https://www.thethreedrinkers.com/magazine-content/best-whisky-cocktails-jura-sunset
best-whisky-tasting-glass,Have you tried the world’s favourite whisky glass?,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-whisky-tasting-glass
best-wine-cooler,Is this the best wine cooler ever?,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-wine-cooler
best-wine-gadget-coravin-model-six,Wine Gadget: Coravin Model Six,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-wine-gadget-coravin-model-six
best-wine-gift-hamper-best-wine-tastings-best-sherry-present-christmas,"Fantastic Wine Gifts, Subscriptions &amp; Experiences",HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-wine-gift-hamper-best-wine-tastings-best-sherry-present-christmas
best-wine-spirits-for-valentines-day,Fun Drinks Choices for Valentine’s Day,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-wine-spirits-for-valentines-day
best-wines-for-romance-most-romantic-wines,3 Wines for Romantic Moments,HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-wines-for-romance-most-romantic-wines
best-world-whiskies-nikka-kavalan-mackmyra-pauljohn-starward,Around the World in 6 Whiskies,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/best-world-whiskies-nikka-kavalan-mackmyra-pauljohn-starward
bring-a-bottle-podcast-episode-100,Bring a Bottle Podcast: Episode 100,CalumEcroyd,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-100
bring-a-bottle-podcast-episode-102,Bring a Bottle Podcast: Episode 102,CalumEcroyd,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-102
bring-a-bottle-podcast-episode-82,The Bring a Bottle Podcast: Episode 82,TheThreeDrinkers,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-82
bring-a-bottle-podcast-episode-85,The Bring a Bottle Podcast: Episode 85,TheThreeDrinkers,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-85
bring-a-bottle-podcast-episode-89,Bring a Bottle Podcast: Episode 89,SophieFurukawa,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-89
bring-a-bottle-podcast-episode-93,Bring a Bottle Podcast: Episode 93,TheThreeDrinkers,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-93
bring-a-bottle-podcast-episode-95,Bring A Bottle Podcast: Episode 95,CalumEcroyd,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-95
bring-a-bottle-podcast-episode-97,Bring a Bottle Podcast: Episode 97,CalumEcroyd,tagged_helena,0,0,Helena Nicklin,no,https://www.thethreedrinkers.com/magazine-content/bring-a-bottle-podcast-episode-97
bushmills-the-causeway-collection-1991-madeira-cask-irish-whiske,Spotlight on Bushmills: The Causeway Collection 1991 Madeira Cask&nbsp;Whiskey,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin|helenasips,yes,https://www.thethreedrinkers.com/magazine-content/bushmills-the-causeway-collection-1991-madeira-cask-irish-whiske
cafe-1001-brick-lane-london-outdoor-venue,"3D Recommends: Café 1001, London",HelenaNicklin,authored_by_her,59,38809,,yes,https://www.thethreedrinkers.com/magazine-content/cafe-1001-brick-lane-london-outdoor-venue
carmenere-best-wines-food-pairing-tasting,Carmenère: Smoky Sorceress of Wine Grapes,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/carmenere-best-wines-food-pairing-tasting
celebrating-aidy-as-the-top-100-most-influential-people-in-drinks-are-revealed,Celebrating Aidy as the Top 100 Most Influential People in Drinks Are Revealed!,CalumEcroyd,tagged_helena,0,0,helena nicklin,no,https://www.thethreedrinkers.com/magazine-content/celebrating-aidy-as-the-top-100-most-influential-people-in-drinks-are-revealed
chardonnay-styles,One Minute Wine Ace: Chardonnay,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/chardonnay-styles
classic-champagne-styles-for-spring,Classic Champagne styles for Spring,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin|helenasips,yes,https://www.thethreedrinkers.com/magazine-content/classic-champagne-styles-for-spring
classic-cheese-and-wine-matches,Classic Cheese and Wine Matches,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin|helena sips,yes,https://www.thethreedrinkers.com/magazine-content/classic-cheese-and-wine-matches
coravin-model-eleven-wine-gadget,Turn your wine gadget game up to eleven! Introducing Coravin Model Eleven,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/coravin-model-eleven-wine-gadget
coravin-moment-app-wine-gadget,Savour your wine moments for longer: A look at the Coravin Moments APP,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/coravin-moment-app-wine-gadget
crabbies-colada-whisky-cocktail-recipe,Crabbie's Colada,TheThreeDrinkers,tagged_helena,0,0,helena nicklin,no,https://www.thethreedrinkers.com/magazine-content/crabbies-colada-whisky-cocktail-recipe
do-rueda-wine-region-spain-best-wines,DO Rueda: Spiritual home of the Verdejo Grape,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/do-rueda-wine-region-spain-best-wines
drinker-discoveries-helena-gift-guide-best-wine-spirits-gadgets,"Drinker Discoveries: CBD Bitters, New Spirits, Great Wine and Gadgets",HelenaNicklin,authored_by_her|slug_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/drinker-discoveries-helena-gift-guide-best-wine-spirits-gadgets
drinker-discoveries-mead-bitters-handsanitiser-best-drinks-products-gift-guide,Drinker Discoveries: 5 New Products For Your Next Socially Distanced Gathering,HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/drinker-discoveries-mead-bitters-handsanitiser-best-drinks-products-gift-guide
drinker-discoveries-six-sips-for-a-sizzling-summer,Drinker Discoveries: Six Refreshing Sips for a Sizzling Summer,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/drinker-discoveries-six-sips-for-a-sizzling-summer
drinks-retailers-delivering-during-lockdown,Wine &amp; Spirits Delivery: Lockdown 3 Guide,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/drinks-retailers-delivering-during-lockdown
drinky-desserts-sweet-wine-styles-cocktails-sweet-wines-for-cocktails,Drinky Desserts: Your Guide to Sweet Wine Styles,HelenaNicklin,authored_by_her|image_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/drinky-desserts-sweet-wine-styles-cocktails-sweet-wines-for-cocktails
easy-whisky-cocktails-scotch-whisky-whiskey-cocktails,5 of The Best Scotch Whisky Cocktails to drink right now,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/easy-whisky-cocktails-scotch-whisky-whiskey-cocktails
english-sparkling-wine-to-celebrate-the-jubilee,English sparkling wine to celebrate the Jubilee,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin|helenasips,yes,https://www.thethreedrinkers.com/magazine-content/english-sparkling-wine-to-celebrate-the-jubilee
english-wine-in-focus-charles-palmer-pinot-noir-2018,"English Wine in Focus: Charles Palmer, Pinot Noir 2018",adrian@thethreedrinkers.com,tagged_helena,0,0,helena nicklin,no,https://www.thethreedrinkers.com/magazine-content/english-wine-in-focus-charles-palmer-pinot-noir-2018
english-wines-to-rival-champagne,English Wines to Rival Champagne,HelenaNicklin,authored_by_her|tagged_helena|image_mentions,0,0,helena NIckin,yes,https://www.thethreedrinkers.com/magazine-content/english-wines-to-rival-champagne
famous-japanese-drinks-sake-umeshu,Thursday Club with talk RADIO: Japanese Sake and Umeshu,HelenaNicklin,authored_by_her|tagged_helena|image_mentions,0,0,helenasips|helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/famous-japanese-drinks-sake-umeshu
father-day-gift-ideas-drinks-whisky-wine-beer-rum-gin,Father's Day Gift Ideas For Drinks Lovers,HelenaNicklin,authored_by_her|inline_byline|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/father-day-gift-ideas-drinks-whisky-wine-beer-rum-gin
festive-pudding-and-cheese-pairings-vanessa-feltz-talktv,TalkTV: Festive pudding &amp; cheese pairings,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin talktv vanessa feltz,yes,https://www.thethreedrinkers.com/magazine-content/festive-pudding-and-cheese-pairings-vanessa-feltz-talktv
festive-recipe-persian-salmon-provencal-rose,Festive Recipe: Persian Salmon with Provencal Rosé,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/festive-recipe-persian-salmon-provencal-rose
gin-cheesecake-recipe-gin-day,The Ultimate Gin Cheesecake Recipe,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/gin-cheesecake-recipe-gin-day
glenmorangie-sonoma-cutrer-25-year-old-whisky-rare-limited-edition,"Meet Glenmorangie’s New, Super Rare Expression",HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/glenmorangie-sonoma-cutrer-25-year-old-whisky-rare-limited-edition
great-drinks-gifts-fathers-day,Great Gifts for Father's Day,helena@thethreedrinkers.com,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/great-drinks-gifts-fathers-day
great-gin-for-the-jubilee,Great Gins for the Jubilee,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/great-gin-for-the-jubilee
great-scotch-whisky-alternatives-burns-night,4 Great Scotch Whisky Alternatives,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/great-scotch-whisky-alternatives-burns-night
great-value-red-wines-for-christmas,Great Value Red Wines for Christmas,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/great-value-red-wines-for-christmas
great-winter-rose-wines-best-pink-wine,4 Great Rosé Wines for Winter,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/great-winter-rose-wines-best-pink-wine
guide-to-albarino-wine-from-rias-baixas-best-wines,One Minute Wine Ace: Albariño,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/guide-to-albarino-wine-from-rias-baixas-best-wines
hamishs-famous-amaretto-crumble,Hamish’s ‘famous’ Amaretto Crumble,HelenaNicklin,authored_by_her|tagged_helena|image_mentions,0,0,hamish nicklin|helena nickin,yes,https://www.thethreedrinkers.com/magazine-content/hamishs-famous-amaretto-crumble
havana-club-bar-entrepreneur-awards-ceremony,Havana Club 2020 Bar Entrepreneur Awards Ceremony,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/havana-club-bar-entrepreneur-awards-ceremony
havana-club-bar-entrepreneur-awards-winners,HAVANA CLUB BAR ENTREPRENEUR OF THE YEAR: The Winners,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/havana-club-bar-entrepreneur-awards-winners
helenas-choice-fine-wine-for-your-festive-meal-or-gifting,Helena's Choice: fine wines for your festive meal or gifting,HelenaNicklin,authored_by_her|slug_mentions|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/helenas-choice-fine-wine-for-your-festive-meal-or-gifting
how-do-you-like-your-eggs-the-effect-of-vessels-on-wine-flavour-and-texture,How do you like your eggs? The effect of vessels on wine flavour and texture,helena@thethreedrinkers.com,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/how-do-you-like-your-eggs-the-effect-of-vessels-on-wine-flavour-and-texture
how-human-connection-amp-compassion-helps-us-thrive,How Human Connection &amp; Compassion Helps Us Thrive,HelenaNicklin,authored_by_her,63,9804,,yes,https://www.thethreedrinkers.com/magazine-content/how-human-connection-amp-compassion-helps-us-thrive
how-intentional-breathing-nose-breathing-can-boost-your-health-and-happiness,How 2 minutes of intentional breathing can boost your health and happiness,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/how-intentional-breathing-nose-breathing-can-boost-your-health-and-happiness
how-long-does-alcohol-keep,How Long Does Alcohol Keep?,HelenaNicklin,authored_by_her,220,177725,,yes,https://www.thethreedrinkers.com/magazine-content/how-long-does-alcohol-keep
how-to-get-better-at-smelling-wine,3 Ways to Get Better at Smelling Wine,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/how-to-get-better-at-smelling-wine
how-to-motivate-yourself-to-move-and-get-more-exercise,How to motivate yourself to move more!,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/how-to-motivate-yourself-to-move-and-get-more-exercise
how-to-put-together-the-perfect-cheeseboard,How to Put Together the Perfect Cheeseboard,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nicklin|helena sips,yes,https://www.thethreedrinkers.com/magazine-content/how-to-put-together-the-perfect-cheeseboard
it-london-review-best-london-bars,IT London,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/it-london-review-best-london-bars
its-wine-tax-freedom-day-join-the-movement,It’s Wine Tax Freedom Day! Join the movement,helena@thethreedrinkers.com,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/its-wine-tax-freedom-day-join-the-movement
