type,url,slug,new_description,char_len,reason,gsc_clicks
article,https://www.thethreedrinkers.com/magazine-content/the-worlds-best-sipping-tequilas,the-worlds-best-sipping-tequilas,"Tequila isn't just for shots. Aidy Smith picks the world's finest sipping tequilas — smooth, complex bottles worth savouring slowly.",132,generated,2530
tag,https://www.thethreedrinkers.com/magazine-content/tag/How%20long%20does%20Baileys%2FAdvocaat%20last%3F,How long does Baileys/Advocaat last?,Baileys and Advocaat both contain dairy — so how long do they last? Here's exactly what to expect from an open bottle and how to store it properly.,147,generated,2177
article,https://www.thethreedrinkers.com/magazine-content/krug-vs-dom-perignon-champagne,krug-vs-dom-perignon-champagne,Understated elegance and purity or stylish opulence and glamour. Which do you prefer?,85,auto-truncated,2101
tag,https://www.thethreedrinkers.com/magazine-content/tag/best%20rose%20wines%20in%20tesco%20the%20three%20drinkers,best rose wines in tesco the three drinkers,Tesco stocks some genuinely excellent rosé wines at honest prices. Here are the best bottles on the shelves right now.,118,generated,1996
tag,https://www.thethreedrinkers.com/magazine-content/tag/How%20long%20does%20Malibu%20last%3F,How long does Malibu last?,"Malibu lasts longer than you might expect, but it does go off. Here's exactly how long it stays good once opened and the best way to store it.",142,generated,1987
article,https://www.thethreedrinkers.com/magazine-content/best-whisky-for-cocktails-macallan,best-whisky-for-cocktails-macallan,Macallan have an extensive range and sitting at the core of the range are three twelve year old whiskies which all have a different twist on the core flavour.,158,auto-truncated,1730
article,https://www.thethreedrinkers.com/magazine-content/strawberry-gin-sour-recipe,strawberry-gin-sour-recipe,"Aidy's strawberry gin sour is simple, stunning and seriously impressive. Three ingredients, two minutes, one beautiful cocktail.",128,generated,1577
tag,https://www.thethreedrinkers.com/magazine-content/tag/Which%20Country%20Produces%20the%20Most%20Rum%3F,Which Country Produces the Most Rum?,The answer might surprise you. Here's a full breakdown of global rum production by country — and which nation actually makes the most.,134,generated,1504
tag,https://www.thethreedrinkers.com/magazine-content/tag/Should%20you%20use%20Blanco%20or%20Reposado%20tequila%20in%20a%20Margarita%3F,Should you use Blanco or Reposado tequila in a Margarita?,It's one of the great Margarita debates. Here's the definitive answer on whether Blanco or Reposado tequila makes the better cocktail.,134,generated,1492
article,https://www.thethreedrinkers.com/magazine-content/vermouth-cocktail-recipes-cocchi-vermouth-di-torino,vermouth-cocktail-recipes-cocchi-vermouth-di-torino,Cocchi Vermouth di Torino: THE go-to vermouth of choice for mixologists and drinks enthusiasts alike.,101,auto-truncated,1460
article,https://www.thethreedrinkers.com/magazine-content/how-to-play-shot-roulette-amp-is-it-anything-like-casino-roulette,how-to-play-shot-roulette-amp-is-it-anything-like-casino-roulette,"Roulette is one of the most iconic casino games in the world, known for its spinning wheel, numbered pockets, and high-stakes betting.",134,auto-truncated,1438
tag,https://www.thethreedrinkers.com/magazine-content/tag/why%20does%20james%20bond%20order%20his%20martini%20shaken%20not%20stirred%3F,why does james bond order his martini shaken not stirred?,"It's one of fiction's most famous drink orders — and there's an actual reason for it. Here's why Bond orders his Martini shaken, not stirred.",141,generated,1437
tag,https://www.thethreedrinkers.com/magazine-content/tag/why%20vodka%20is%20the%20best%20drink%20to%20avoid%20a%20hangover,why vodka is the best drink to avoid a hangover,Vodka is often said to produce the mildest hangover. Here's whether that's actually true and the science behind congeners and morning-after misery.,147,generated,1281
tag,https://www.thethreedrinkers.com/magazine-content/tag/Is%20Squealing%20Pig%20Sauvignon%20Blanc%20any%20good%3F,Is Squealing Pig Sauvignon Blanc any good?,Squealing Pig is everywhere — but is it actually good? Here's an honest review of the Sauvignon Blanc that became one of the UK's bestselling wines.,148,generated,1178
tag,https://www.thethreedrinkers.com/magazine-content/tag/7%20Affordable%20Tequilas%20Perfect%20For%20Margaritas%20uk,7 Affordable Tequilas Perfect For Margaritas uk,A Margarita lives or dies by the tequila. Here are seven affordable bottles that make genuinely excellent Margaritas without breaking the bank.,143,generated,1174
tag,https://www.thethreedrinkers.com/magazine-content/tag/which%20tonic%20water%20is%20the%20best,which tonic water is the best,"Not all tonic water is the same. Here's an honest ranking of the best tonic waters available in the UK, from supermarket shelves to premium bottles.",148,generated,1167
tag,https://www.thethreedrinkers.com/magazine-content/tag/Restaurant codes,Restaurant codes,Restaurant staff use a set of codes and signals that customers rarely hear. Here's a guide to the most common ones and what they mean.,134,generated,1118
tag,https://www.thethreedrinkers.com/magazine-content/tag/best%20cocktails%20to%20make%20with%20cremant,best cocktails to make with cremant,Crémant makes an exceptional cocktail base that most people never think to use. Here are the best recipes — from spritzes to French 75 variations.,146,generated,1109
article,https://www.thethreedrinkers.com/magazine-content/whisky-infused-with-a-severed-human-toe-anyone,whisky-infused-with-a-severed-human-toe-anyone,"In Yukon, Canada, a bar demands your lips touch a real severed human toe. Helena Nicklin investigates the legendary Sourtoe Cocktail.",133,generated,1066
article,https://www.thethreedrinkers.com/magazine-content/rude-name-drinks,rude-name-drinks,"It’s one of our greatest joys, finding products that have brilliantly funny unfortunate translations, from Fanny Tuna and Soup for Sluts to Golden Gaytime Ice.",159,auto-truncated,1058
tag,https://www.thethreedrinkers.com/magazine-content/tag/What%20juices%20mix%20well%20with%20rum%3F,What juices mix well with rum?,Rum is one of the most mixer-friendly spirits there is. Here are the best juices to pair with rum — from pineapple to mango to orange.,134,generated,1036
article,https://www.thethreedrinkers.com/magazine-content/the-best-drinks-with-curry,the-best-drinks-with-curry,"Beer, wine or cocktails with your curry? Helena Nicklin's essential guide to the best drink pairings for every curry dish on the menu.",134,generated,920
tag,https://www.thethreedrinkers.com/magazine-content/tag/adults-only%20soft%20play%20centre%20%20hull,adults-only soft play centre  hull,The best adults-only soft play bars in Hull — honest reviews of every venue worth booking for a different kind of night out.,124,generated,895
article,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-noilly-prat-original-dry-vermouth-cocktail,one-drink-three-ways-noilly-prat-original-dry-vermouth-cocktail,"Originally used as a tonic for medical purposes, a vermouth is wine that has been infused by botanicals and fortified with spirit.",130,auto-truncated,884
tag,https://www.thethreedrinkers.com/magazine-content/tag/adults-only%20soft%20play%20centre%20%20bath,adults-only soft play centre  bath,The best adults-only soft play bars in Bath — honest venue reviews to help you find the right spot for a fun night out with friends.,132,generated,876
tag,https://www.thethreedrinkers.com/magazine-content/tag/stirred%20cocktail%20recipes,stirred cocktail recipes,"Every stirred cocktail recipe you need — Martinis, Manhattans, Negronis, Old Fashioneds and more. Step-by-step guides with tips on ice and technique.",149,generated,871
tag,https://www.thethreedrinkers.com/magazine-content/tag/Best%20cacha%C3%A7a%20for%20Caipirinha,Best cachaça for Caipirinha,"The Caipirinha lives and dies by its cachaça. Here are the best bottles to use, from budget bottles to premium options worth the extra spend.",141,generated,855
article,https://www.thethreedrinkers.com/magazine-content/the-most-popular-gin-cocktails,the-most-popular-gin-cocktails,"The distinct, botanical taste of gin is not only something to be admired - but also something to be built upon in a tasty cocktail.",131,auto-truncated,849
tag,https://www.thethreedrinkers.com/magazine-content/tag/adults-only%20soft%20play%20centre%20london,adults-only soft play centre london,"The best adults-only soft play bars in London — from east to west, honest reviews of every venue worth booking for your group.",126,generated,835
tag,https://www.thethreedrinkers.com/magazine-content/tag/What%20do%20they%20drink%20in%20Sex%20and%20the%20City%3F,What do they drink in Sex and the City?,Sex and the City made the Cosmopolitan famous — but the characters drank a lot more than that. Here's the full drinks menu from all six seasons.,144,generated,814
article,https://www.thethreedrinkers.com/magazine-content/why-this-ukrainian-wine-find-at-lidl-is-worth-your-winter-evenings,why-this-ukrainian-wine-find-at-lidl-is-worth-your-winter-evenings,There is a particular pleasure in finding a bottle of wine in a supermarket that feels like more than a safe choice.,116,auto-truncated,812
tag,https://www.thethreedrinkers.com/magazine-content/tag/How%20Does%20VS%20Cognac%20differ%20to%20VSOP%20and%20XO%20Cognac%3F,How Does VS Cognac differ to VSOP and XO Cognac?,"VS, VSOP and XO mean very different things on a Cognac label. Here's exactly what each grade means and which to buy depending on your budget.",141,generated,802
article,https://www.thethreedrinkers.com/magazine-content/cream-liqueurs-perfect-for-sipping-on-this-winter,cream-liqueurs-perfect-for-sipping-on-this-winter,"It’s that time of year when we start to think of mistletoe, holly and Christmas trees, but what could be more quintessentially thought of as a Christmas drink.",159,auto-truncated,768
tag,https://www.thethreedrinkers.com/magazine-content/tag/rude named drinks,rude named drinks,"The drinks world has an extraordinary collection of rudely named bottles. Here are the best ones — wines, spirits and beers that'll raise an eyebrow.",149,generated,689
article,https://www.thethreedrinkers.com/magazine-content/the-ultimate-cocktail-drinking-game-with-poker-creative-casino-inspired-cocktail-recipes,the-ultimate-cocktail-drinking-game-with-poker-creative-casino-inspired-cocktail-recipes,"Long mainstays of the casino experience, poker &amp; cocktails, combine strategy, thrill, and a little elegance.",112,auto-truncated,677
tag,https://www.thethreedrinkers.com/magazine-content/tag/Which%20cocktails%20are%20in%20the%20Daisy%20family%3F,Which cocktails are in the Daisy family?,"Margaritas, Sidecars and more all belong to the Daisy family. Here's every cocktail in this classic group, with recipes and what links them all.",144,generated,658
tag,https://www.thethreedrinkers.com/magazine-content/tag/Boozy%20Christmas%20Crackers,Boozy Christmas Crackers,Christmas crackers with miniature spirits inside — here's a guide to the best boozy Christmas crackers available and which bottles are worth finding.,149,generated,652
tag,https://www.thethreedrinkers.com/magazine-content/tag/Exotic Cocktails,Exotic Cocktails,"Beyond the classic cocktail list — here are the most exotic and unusual cocktails worth making at home, from tiki drinks to forgotten classics.",143,generated,645
tag,https://www.thethreedrinkers.com/magazine-content/tag/How%20do%20you%20use%20a%20wet%20paper%20towel%20to%20chill%20beer%3F,How do you use a wet paper towel to chill beer?,The wet paper towel trick chills beer remarkably fast. Here's exactly how to do it and why it works better than it has any right to.,132,generated,630
tag,https://www.thethreedrinkers.com/magazine-content/tag/Best cachaça brands,Best cachaça brands,Cachaça is far more varied than most people realise. Here's a guide to the best cachaça brands available in the UK — from grassy to complex.,140,generated,618
tag,https://www.thethreedrinkers.com/magazine-content/tag/How%20long%20does%20Baileys%20last%3F,How long does Baileys last?,Baileys has a surprisingly long shelf life — but it's not forever. Here's exactly how long it keeps once opened and the signs it's gone off.,140,generated,606
tag,https://www.thethreedrinkers.com/magazine-content/tag/Rachmainoff%20Vodka%20review,Rachmainoff Vodka review,Rachmainoff Vodka is a value-priced bottle that claims a lot. Here's an honest review of whether this Russian-style vodka delivers what it promises.,148,generated,593
tag,https://www.thethreedrinkers.com/magazine-content/tag/what%20is%20the%20right%20glass%20for%20pinot%20grigio,what is the right glass for pinot grigio,"The right glass genuinely changes how Pinot Grigio tastes. Here's which glass to use, why it matters and the one shape to avoid.",128,generated,560
tag,https://www.thethreedrinkers.com/magazine-content/tag/adults-only%20soft%20play%20centre%20%202024,adults-only soft play centre  2024,The best adults-only soft play bars across the UK in 2024 — honest reviews of venues worth booking for a brilliantly fun night out.,131,generated,549
tag,https://www.thethreedrinkers.com/magazine-content/tag/which%20cream%20liqueur%20is%20the%20best%3F,which cream liqueur is the best?,Cream liqueurs range from exceptional to overly sweet. Here's an honest ranking of the best bottles available in the UK right now.,130,generated,544
tag,https://www.thethreedrinkers.com/magazine-content/tag/Best%20amaretto%20for%20amaretto%20sour,Best amaretto for amaretto sour,The Amaretto Sour is only as good as its amaretto. Here are the best bottles to use and why the choice of amaretto makes such a big difference.,143,generated,530
tag,https://www.thethreedrinkers.com/magazine-content/tag/Liberté Spiced Rum,Liberté Spiced Rum,Liberté Spiced Rum is one of the newer arrivals in a crowded category. Here's an honest review of what it tastes like and whether it's worth buying.,148,generated,525
tag,https://www.thethreedrinkers.com/magazine-content/tag/Can%20you%20drink%20vermouth%20neat%3F,Can you drink vermouth neat?,Most people only know vermouth as a cocktail ingredient — but it's perfectly good on its own. Here's how to drink vermouth neat and which to try.,145,generated,524
tag,https://www.thethreedrinkers.com/magazine-content/tag/what%20is%20the%20right%20glass%20for%20malbec,what is the right glass for malbec,"Malbec needs a big bowl to breathe properly. Here's the right glass to use, why the shape matters and how it changes the drinking experience.",141,generated,518
tag,https://www.thethreedrinkers.com/magazine-content/tag/which%20rum%20goes%20with%20tea%3F,which rum goes with tea?,Rum and tea is a combination with deep roots and real flavour logic. Here's which rums pair best with different tea styles.,123,generated,510
tag,https://www.thethreedrinkers.com/magazine-content/tag/best%20cocktails%20to%20make%20with%20Cava,best cocktails to make with Cava,"Cava is one of the best-value cocktail ingredients you can buy. Here are the most impressive cocktails to make with Cava, from spritzes to punches.",147,generated,507
tag,https://www.thethreedrinkers.com/magazine-content/tag/what%20is%20the%20right%20glass%20for%20chianti,what is the right glass for chianti,Chianti's firm tannins and acidity respond well to the right glass. Here's the shape to use and why it makes this Italian red taste noticeably better.,150,generated,502
article,https://www.thethreedrinkers.com/magazine-content/the-best-port-for-a-port-and-tonic,the-best-port-for-a-port-and-tonic,Haven’t you heard?! Port is trendy now. No longer just the spirit you bring out in the late-night dregs of Christmas Day when you realise you seem to have.,155,auto-truncated,497
article,https://www.thethreedrinkers.com/magazine-content/uncle-nearest-founding-father-tennessee-whiskey,uncle-nearest-founding-father-tennessee-whiskey,"You may well know what I’m going to say, but I shall tell you the story regardless. There has never been a more important time to tell it.",138,auto-truncated,483
article,https://www.thethreedrinkers.com/magazine-content/top-wines-from-sainsburys-under-10-pounds-2022,top-wines-from-sainsburys-under-10-pounds-2022,We’re all feeling the pinch at the moment and it doesn't look like things are going to change any time soon.,108,auto-truncated,477
tag,https://www.thethreedrinkers.com/magazine-content/tag/Rakija%20Sour%20%28Serbia%29%20guide,Rakija Sour (Serbia) guide,Rakija is the Balkans' most beloved spirit and makes a brilliant Sour. Here's a guide to Serbian Rakija and the definitive Rakija Sour recipe.,142,generated,476
tag,https://www.thethreedrinkers.com/magazine-content/tag/Hospitality codes,Hospitality codes,The hospitality industry runs on a set of insider codes. Here's a guide to the most common ones used across bars and restaurants.,129,generated,476
tag,https://www.thethreedrinkers.com/magazine-content/tag/what%20is%20the%20right%20glass%20for%20rose,what is the right glass for rose,Rosé doesn't need a special glass — but the right one makes a real difference. Here's the shape to look for and why stem length matters for rosé.,145,generated,471
tag,https://www.thethreedrinkers.com/magazine-content/tag/best%20current%20wine%20offers%20in%20morrisons,best current wine offers in morrisons,The best wine deals at Morrisons right now — the bottles offering the best value across every style and price point.,116,generated,466
article,https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-coole-swan-irish-cream-white-chocolate-cocktails,one-drink-three-ways-coole-swan-irish-cream-white-chocolate-cocktails,"One Drink, Three Ways is the signature feature by The Three Drinkers.  Join us as we take one bottle and create a trio of phenomenal serves that you can enjoy.",159,auto-truncated,464
tag,https://www.thethreedrinkers.com/magazine-content/tag/What%20alcohol%20do%20Chinese%20people%20drink%3F,What alcohol do Chinese people drink?,"Baijiu, huangjiu, beer and more — Chinese drinking culture is far more varied than most people realise. Here's a full guide.",124,generated,459
tag,https://www.thethreedrinkers.com/magazine-content/tag/Which%20cremant%20should%20I%20buy%3F,Which cremant should I buy?,Crémant is one of the best-value wine categories in France. Here's a guide to every style — from Alsace to Bordeaux — and which to buy first.,141,generated,445
article,https://www.thethreedrinkers.com/magazine-content/the-best-budget-friendly-supermarket-red-wine,the-best-budget-friendly-supermarket-red-wine,"The selection of great quality wines available on supermarket shelves has come on leaps and bounds in recent decades, and there are now plenty of options that.",159,auto-truncated,443
tag,https://www.thethreedrinkers.com/magazine-content/tag/Singani Sour (Bolivia),Singani Sour (Bolivia),Singani is Bolivia's national spirit and makes an extraordinary Sour. Here's everything about this grape-based spirit and the recipe to try.,140,generated,442
tag,https://www.thethreedrinkers.com/magazine-content/tag/best%20tonic%20water%20for%20a%20gin%20and%20tonic,best tonic water for a gin and tonic,The tonic makes or breaks a gin and tonic. Here's a definitive guide to the best tonic waters and which one to pair with your particular gin.,141,generated,409
tag,https://www.thethreedrinkers.com/magazine-content/tag/does%20mixing%20your%20drinks%20make%20you%20ill%3F,does mixing your drinks make you ill?,The old wisdom says never mix your drinks — but is it actually true? Here's what science says about mixing alcohol and feeling worse the next day.,146,generated,407
tag,https://www.thethreedrinkers.com/magazine-content/tag/what%20is%20the%20right%20glass%20for%20sangiovese,what is the right glass for sangiovese,"Sangiovese is a structured, acidic grape that rewards the right glass. Here's which shape brings out the best in it and why.",124,generated,403
article,https://www.thethreedrinkers.com/magazine-content/the-best-drinks-with-thai-food,the-best-drinks-with-thai-food,"Pairing drinks with Thai food is no easy task. With salty, sweet, sour, and spicy flavours all working harmoniously, the cuisine’s complexity can result in.",156,auto-truncated,399
tag,https://www.thethreedrinkers.com/magazine-content/tag/How%20to%20use%20ice%20buckets%20for%20chilling,How to use ice buckets for chilling,Ice buckets chill faster than you think — if you use them correctly. Here's exactly how to use an ice bucket to get your wine or beer cold quickly.,147,generated,398
article,https://www.thethreedrinkers.com/magazine-content/best-shiraz-wine,best-shiraz-wine,"Shiraz is Syrah by another name. Some think that it originated in Shiraz in Iran, but in fact, the grapes from that area are completely different and we now.",157,auto-truncated,391
tag,https://www.thethreedrinkers.com/magazine-content/tag/The%208%20Rudest%20Wines%20You%20Can%20Buy%20uk,The 8 Rudest Wines You Can Buy uk,Some winemakers have clearly had a sense of humour when naming their bottles. Here are the rudest wine names you can actually buy in the UK.,140,generated,390
tag,https://www.thethreedrinkers.com/magazine-content/tag/8%20Unusual%20Alcoholic%20Drinks%20That%20Actually%20Taste%20Good%20uk,8 Unusual Alcoholic Drinks That Actually Taste Good uk,"Strange ingredients, unusual methods — some truly weird drinks are also genuinely delicious. Here are eight to try if you're feeling adventurous.",145,generated,388
article,https://www.thethreedrinkers.com/magazine-content/2019/5/8/the-colours-of-johnnie-walker,2019/5/8/the-colours-of-johnnie-walker,"Johnnie Walker is synonymous with blended Scotch whisky. Being the worlds best selling blend, it takes up quite a bit of space on the shelves.",142,auto-truncated,388
tag,https://www.thethreedrinkers.com/magazine-content/tag/Best Funny Wine Names,Best Funny Wine Names,The best funny wine names in the UK right now — genuinely witty labels that are also worth buying for what's inside the bottle.,127,generated,384
tag,https://www.thethreedrinkers.com/magazine-content/tag/what%20is%20the%20right%20glass%20for%20barolo,what is the right glass for barolo,"Barolo is one of Italy's most structured wines. Here's the right glass to use, why it matters and how long to decant it before you pour.",136,generated,367
tag,https://www.thethreedrinkers.com/magazine-content/tag/what%20is%20the%20first%20drink%20james%20bond%20orders%3F,what is the first drink james bond orders?,"James Bond's very first drink order in the books surprises most people. Here's what it was, in which book it appears and what it reveals about the character.",157,generated,365
tag,https://www.thethreedrinkers.com/magazine-content/tag/which%20spirit%20goes%20with%20black%20tea%3F,which spirit goes with black tea?,Black tea and spirits is a combination with serious potential. Here's which spirits pair best with black tea and how to build the perfect serve.,144,generated,353
tag,https://www.thethreedrinkers.com/magazine-content/tag/How%20Does%20XO%20Cognac%20differ%20to%20VSOP%20and%20XXO%20Cognac%3F,How Does XO Cognac differ to VSOP and XXO Cognac?,"XO Cognac is the pinnacle — but what separates it from VSOP, and what does XXO mean? Here's a plain-English guide to Cognac grades.",131,generated,351
tag,https://www.thethreedrinkers.com/magazine-content/tag/best aldi red wine,best aldi red wine,Aldi's wine range punches well above its price. Here are the best red wines to buy right now from Aldi's regularly-changing shelves.,132,generated,342
tag,https://www.thethreedrinkers.com/magazine-content/tag/what%20alcohol%20does%20king%20charles%20drink%3F,what alcohol does king charles drink?,King Charles is known for his specific tastes in drinks. Here's everything known about his favourite spirits and the brands he's associated with.,145,generated,341
tag,https://www.thethreedrinkers.com/magazine-content/tag/The%20Best%20Tequila%20%26%20Mezcal%20Advent%20Calendar,The Best Tequila & Mezcal Advent Calendar,Tequila and mezcal advent calendars are the most exciting development in the festive drinks market. Here are the best ones this year.,133,generated,340
tag,https://www.thethreedrinkers.com/magazine-content/tag/best%20value%20uk%20supermarket%20wines%202024,best value uk supermarket wines 2024,The UK's supermarkets are full of genuinely good wine if you know where to look. Here are the best-value bottles across all the major chains in 2024.,149,generated,338
tag,https://www.thethreedrinkers.com/magazine-content/tag/jura 10 cocktails,jura 10 cocktails,"Jura 10 is one of Scotland's most versatile whiskies. Here are the best cocktails to make with it — some classic, some unexpected.",130,generated,337
tag,https://www.thethreedrinkers.com/magazine-content/tag/Cassario%20Black%20Spiced%20Flavour%20with%20Rum,Cassario Black Spiced Flavour with Rum,Cassario Black is a spiced rum-flavoured drink that's harder to categorise than it looks. Here's an honest review of what's actually in the bottle.,147,generated,335
tag,https://www.thethreedrinkers.com/magazine-content/tag/RHUBARB%20%26%20CUSTARD%20COCKTAIL,RHUBARB & CUSTARD COCKTAIL,"Rhubarb and custard in cocktail form — here's the recipe for this nostalgic, beautifully balanced drink that's easier to make than it sounds.",141,generated,333
tag,https://www.thethreedrinkers.com/magazine-content/tag/what%20is%20the%20best%20xo%20cognac,what is the best xo cognac,The best XO Cognacs are extraordinary — and very different from each other. Here's a guide to the finest bottles and what makes each one special.,145,generated,333
tag,https://www.thethreedrinkers.com/magazine-content/tag/Do%20different%20types%20of%20alcohol%20get%20you%20different%20types%20of%20drunk%3F,Do different types of alcohol get you different types of drunk?,Does tequila make you aggressive? Does wine make you emotional? Here's what the science actually says about whether different drinks affect you differently.,156,generated,333
tag,https://www.thethreedrinkers.com/magazine-content/tag/Aperol Sbagliato,Aperol Sbagliato,"The Sbagliato is an accidental masterpiece. Here's the recipe for this Italian spritz with Aperol, prosecco and a splash of sweet vermouth.",139,generated,332
tag,https://www.thethreedrinkers.com/magazine-content/tag/El%20Salvador%20%E2%80%93%20Death%20sentence%20for%20DUI%3F,El Salvador – Death sentence for DUI?,El Salvador's drink-driving laws are among the strictest in the world. Here's the truth behind the claims and what the law actually says.,137,generated,326
article,https://www.thethreedrinkers.com/magazine-content/best-fruity-whisky,best-fruity-whisky,"With all the talk in the whisky world being about the extremes, like heavily peated, big sherry bombs, or very old whisky, I wanted to bring the conversation.",158,auto-truncated,326
tag,https://www.thethreedrinkers.com/magazine-content/tag/best red wines asda,best red wines asda,"ASDA's wine range has some real hidden gems. Here are the best red wines currently on the shelves, tried and ranked honestly.",125,generated,322
tag,https://www.thethreedrinkers.com/magazine-content/tag/sainsbury's best wines,sainsbury's best wines,Sainsbury's wine range has some genuine standouts. Here are the best bottles across all styles and price points available right now.,132,generated,321
tag,https://www.thethreedrinkers.com/magazine-content/tag/Nicolas de Mont Bart,Nicolas de Mont Bart,Nicolas de Mont Bart is one of Burgundy's most reliable producers. Here's everything you need to know about the range and which bottles to try.,143,generated,321
tag,https://www.thethreedrinkers.com/magazine-content/tag/Which%20whisky%20tasting%20sets%20are%20best%3F,Which whisky tasting sets are best?,Whisky tasting sets are the best introduction to a new distillery or style. Here are the best ones currently available and what makes each worthwhile.,150,generated,319
tag,https://www.thethreedrinkers.com/magazine-content/tag/Rude Wine Names UK,Rude Wine Names UK,The UK's off-licences are full of wines with names that'll make you look twice. Here are the best and rudest wine labels you can actually buy.,142,generated,317
tag,https://www.thethreedrinkers.com/magazine-content/tag/Is%20gin%20just%20flavored%20vodka,Is gin just flavored vodka,"It's a question that annoys gin lovers everywhere — but is there actually any truth to it? Here's the honest, definitive answer.",128,generated,316
tag,https://www.thethreedrinkers.com/magazine-content/tag/best%20aldi%20wines%20right%20now,best aldi wines right now,Aldi's wine range changes constantly. Here are the best bottles available right now — the ones worth putting in your basket immediately.,136,generated,306
article,https://www.thethreedrinkers.com/magazine-content/the-best-scotch-whisky-to-sip-this-burns-night,the-best-scotch-whisky-to-sip-this-burns-night,"It doesn’t take much of an excuse for me to have a dram or two on any evening of the year, but there is one night of the year that gives me a reason to open.",157,auto-truncated,306
tag,https://www.thethreedrinkers.com/magazine-content/tag/DIY%20cocktails%20with%20Hooch,DIY cocktails with Hooch,Hooch is back — and it makes surprisingly good cocktails. Here are the best DIY cocktail recipes to try with the iconic alcopop.,128,generated,305
tag,https://www.thethreedrinkers.com/magazine-content/tag/alcoholic%20secret%20santa%20ideas,alcoholic secret santa ideas,"The best alcoholic Secret Santa gifts that won't feel lazy or generic — bottles, kits and experiences for every budget and taste.",129,generated,300
tag,https://www.thethreedrinkers.com/magazine-content/tag/visit grand marnier,visit grand marnier,Grand Marnier's home in the Loire Valley is well worth a visit. Here's everything you need to know about visiting the distillery and what to expect.,148,generated,295
tag,https://www.thethreedrinkers.com/magazine-content/tag/How%20long%20does%20Vodka%20last%3F,How long does Vodka last?,Vodka is one of the most stable spirits you can buy — but does it actually last forever? Here's the honest answer on vodka's shelf life.,136,generated,293
tag,https://www.thethreedrinkers.com/magazine-content/tag/Which%20VSOP%20Cognac%20should%20I%20try%3F,Which VSOP Cognac should I try?,VSOP is the sweet spot in the Cognac range. Here are the best VSOP bottles to try right now — from famous houses to underrated alternatives.,140,generated,293
