slug,title,date_published,category,top_3_tags,word_count,gsc_clicks_16mo,gsc_impressions_16mo,avg_position,action,reassign_to,first_200_chars,live_url,redirect_to
festive-pudding-and-cheese-pairings-vanessa-feltz-talktv,TalkTV: Festive pudding &amp; cheese pairings,2022-12-13,TalkTV,which wine with christmas pudding,334,0,0,,drop,,Sweet treats and cheese can provide matches made in heaven or completely the opposite if you get them wrong. Here are a couple of go-classic pairings that will elevate your festive hosting game! Blue,https://www.thethreedrinkers.com/magazine-content/festive-pudding-and-cheese-pairings-vanessa-feltz-talktv,
top-wines-from-sainsburys-under-10-pounds-2022,Top white Wines from Sainsbury’s Under £10 for 2022,2022-05-12,"Wine, Thursday Club","wine, sainsbury's, helena nicklin",457,477,32646,15,drop,,"We’re all feeling the pinch at the moment and it doesn't look like things are going to change any time soon. The impact of Covid, Brexit and war in Europe is taking its toll on the availability and th",https://www.thethreedrinkers.com/magazine-content/top-wines-from-sainsburys-under-10-pounds-2022,
helenas-choice-fine-wine-for-your-festive-meal-or-gifting,Helena's Choice: fine wines for your festive meal or gifting,2022-12-05,Wine,"helena nicklin, Fine wine",645,0,0,,drop,,We may be in an economic crisis but research is showing that people are choosing to spend a little more on their drinks this year instead of going out as it’s still cheaper to do that! I didn’t have t,https://www.thethreedrinkers.com/magazine-content/helenas-choice-fine-wine-for-your-festive-meal-or-gifting,
malbec-and-uco-valley-graffigna-malbec,The Story of Malbec and the Uco Valley,2022-11-30,"Wine, Features","wine, malbec, Graffigna Genuine Collection Reserve Malbec",828,0,0,,drop,,"This article is brought to you by Graffigna Genuine Collection Reserve Malbec from the Uco Valley, with its silky chocolate tones, concentrated black and red fruit notes, a hint of graphite and spice.",https://www.thethreedrinkers.com/magazine-content/malbec-and-uco-valley-graffigna-malbec,
talktv-german-wines-for-winter,TalkTV: German Wines for Winter,2022-11-23,"Wine, TalkTV, Thursday Club","riesling, Mosel, talktv",514,0,0,,drop,,"German wines are creeping their way back into our hearts as we eschew heavy, tannic, alcoholic wines for more softly spoken, elegant and supremely drinkable options. If you think you wouldn’t recognis",https://www.thethreedrinkers.com/magazine-content/talktv-german-wines-for-winter,
best-places-to-drink-sherry-uk,21 Great Spots to Drink Sherry in the UK,2022-11-02,Wine,"sherry, jerez, fino",1698,0,0,,drop,,"Where to drink Sherry in the UK for International Sherry Week and all year round… Now in its 9th year, International Sherry Week is the world’s largest celebration of Sherry wines from Southern Spain.",https://www.thethreedrinkers.com/magazine-content/best-places-to-drink-sherry-uk,
red-wines-for-halloween-2022,Red Wines for Halloween 2022,2022-10-25,"TalkTV, Wine","talktv, thursday club, helena nicklin",503,0,0,,drop,,"Are you drink ready for Hallowine, I mean, Halloween? You may have caught me on talkTV with Mike Graham talking about the first three wines on this list, but there are many more that are worth your at",https://www.thethreedrinkers.com/magazine-content/red-wines-for-halloween-2022,
talktv-perfect-halloween-wines,talkTV: Perfect Halloween Wines,2022-10-25,TalkTV,"talktv, thursday club, helena nicklin",295,0,0,,drop,,"In case you are wondering, it was very hard to not call this article ‘hallowines’ but that would have not worked for SEO, so here we are! Perfect halloween wines for your delectation. There is a theme",https://www.thethreedrinkers.com/magazine-content/talktv-perfect-halloween-wines,
talktv-retro-liqueurs,TalkTV: Retro Liqueurs,2022-10-12,TalkTV,"liqueur, vermouth, Dubonnet",416,0,0,,drop,,"It’s official. Liqueurs are back with a bang! Rediscovered through our post lockdown obsession with mixology and ingredients, drinkies from years ago are back and we are also welcoming some new brands",https://www.thethreedrinkers.com/magazine-content/talktv-retro-liqueurs,
talk-tv-the-best-boxed-wine-reasons-to-buy-box-wine,talkTV: Beautiful Boxed Wine!,2022-09-22,"Thursday Club, TalkTV","wine, boxed wine, talktv",485,0,0,,drop,,"Boxed wine has come of age. Long gone are the days when the only thing you could find in a box was rocket fuel, thanks largely to advancements in technology, keeping wine fresher for longer. You can r",https://www.thethreedrinkers.com/magazine-content/talk-tv-the-best-boxed-wine-reasons-to-buy-box-wine,
talktv-cabernet-sauvignon-blends-international-cabernet-day,talkTV: Cabernet Blends for Cabernet Day!,2022-09-01,"Thursday Club, TalkTV","talktv, talkradio, helensips",496,0,0,,drop,,"Lebanon (Bekaa Valley) Petit Paradis de Qanafar, Chateau Qanafar, 2018 The Bekaa Valley in Eastern Lebanon is the country’s most important farming region and where 90% of all Lebanese wine is made. Wi",https://www.thethreedrinkers.com/magazine-content/talktv-cabernet-sauvignon-blends-international-cabernet-day,
one-drink-three-ways-coole-swan-irish-cream-white-chocolate-cocktails,"One Drink, Three Ways: Coole Swan Irish Cream",2023-08-21,"Spirits, Guides, Cocktails","one drink three ways, cocktails, whisky cocktails",561,464,150591,7.2,,AidySmith,"One Drink, Three Ways is the signature feature by The Three Drinkers. Join us as we take one bottle and create a trio of phenomenal serves that you can enjoy anytime, anywhere. From rums and whiskies ",https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-coole-swan-irish-cream-white-chocolate-cocktails,
roussillon-wine,Rediscover Roussillon Wines,2022-07-14,"Guides, Wine, France",,1489,0,0,,drop,,Wines from the South of France have the greatest reputation for those tipples that taste just as good back at home as they do on your glorious French holiday. Let’s focus however on one part of the Gr,https://www.thethreedrinkers.com/magazine-content/roussillon-wine,
talktv-what-is-the-difference-between-shiraz-and-syrah,talkTV: Shiraz and Syrah,2022-06-30,TalkTV,"wine, shiraz, syrah",483,0,0,,drop,,"Today on talkTV, we shine a light on the difference between Syrah and Shiraz. Did you know that it was the same grape, just with different personalities depending on style desired and location? Syrah:",https://www.thethreedrinkers.com/magazine-content/talktv-what-is-the-difference-between-shiraz-and-syrah,
perfect-food-pairings-for-argentinian-malbec,Five Perfect Food Pairings for Argentinian Malbec,2022-12-12,"Guides, Wine","Graffigna Genuine Collection Reserve Malbec, Does cheese go with malbec?, Which vegetarian dishes pair with malbec?",574,441,52969,8.5,,AidySmith,"This article is brought to you by Graffigna Genuine Collection Reserve Malbec from the exceptional Uco Valley. With more than 150 years of history, Graffigna is the 3rd oldest winery in Argentina. Arg",https://www.thethreedrinkers.com/magazine-content/perfect-food-pairings-for-argentinian-malbec,
must-try-english-sparkling-wine,10 English Wines You Need To Try,2022-06-22,"Guides, Wine, TalkTV","hattingley valley, Broadwoods Folly, english wine",1137,0,0,,drop,,"With English Wine Week now in full swing, we wanted to shine a light on one of England’s greatest exports: English wine! Gone are the days when English wine was considered to be a joke. Our wines, bot",https://www.thethreedrinkers.com/magazine-content/must-try-english-sparkling-wine,
wines-from-spain-awards-2022-the-champions,Wines From Spain Awards 2022: The Champions!,2022-06-17,"Wine, Guides",wine,1290,0,0,,drop,,"Taste the Winners from the Wines From Spain Awards 2022 When we hear the words Spanish wine, what do we immediately think of? Rioja? Certainly. Cava? Probably. Anything else? If not, then read on to d",https://www.thethreedrinkers.com/magazine-content/wines-from-spain-awards-2022-the-champions,
talktv-award-winning-wines-from-spain,TalkTV: Award-Winning Wines From Spain,2022-06-16,TalkTV,"spain, spanish wine, best spanish wine",618,0,0,,drop,,"When we hear the words Spanish wine, what do we immediately think of? Rioja? Certainly. Cava? Probably. Anything else? Today is all about discovering some grapes and regions that wine buffs love but t",https://www.thethreedrinkers.com/magazine-content/talktv-award-winning-wines-from-spain,
talktv-summer-wine-from-the-south-of-france,TalkTV: Summer wine from the South of France,2022-06-09,Thursday Club,"wine, talktv, helena nicklin",426,0,0,,drop,,"With airlines cancelling everyone’s holidays right now, let’s bring a splash of Southern French sunshine to our lives. These wines are made by two superstar winemakers of the South France who between ",https://www.thethreedrinkers.com/magazine-content/talktv-summer-wine-from-the-south-of-france,
bushmills-the-causeway-collection-1991-madeira-cask-irish-whiske,Spotlight on Bushmills: The Causeway Collection 1991 Madeira Cask&nbsp;Whiskey,2022-06-03,"Whiskey, Whisky","father's day, whisky, whiskey",368,0,0,,drop,,"My grandfather and generations of his family were born and raised in Northern Ireland, a stone’s throw from the Giant’s Causeway on the North Antrim coast, the river Bush and its namesake distillery, ",https://www.thethreedrinkers.com/magazine-content/bushmills-the-causeway-collection-1991-madeira-cask-irish-whiske,
talktv-jubilee-drinkies,talkTV: Jubilee Drinkies!,2022-06-02,Wine,mike graham,265,0,0,,drop,,"The platinum Jubilee bank holiday is here! Time for fun frolics and fiestas. Here is an eclectic mix of fabulous booze that will suit all kinds of celebrations. Soave, 2021 Made for M&S by Casa Girell",https://www.thethreedrinkers.com/magazine-content/talktv-jubilee-drinkies,
english-sparkling-wine-to-celebrate-the-jubilee,English sparkling wine to celebrate the Jubilee,2022-05-26,"Wine, Thursday Club","wine, talktv, talk radio",636,0,0,,drop,,"With the Platinum Jubilee around the corner, it feels ridiculous to reach for Champagne when we have properly world class fizz on our doorsteps. English sparkling wine has come of age with even the mo",https://www.thethreedrinkers.com/magazine-content/english-sparkling-wine-to-celebrate-the-jubilee,
great-gin-for-the-jubilee,Great Gins for the Jubilee,2022-05-26,"Guides, Gin, Spirits","Buckingham Palace Gin, Hortus London Dry Gin, Blackfriars Scottish Raspberry & Rhubarb Gin",983,0,0,,drop,,"As the long bank holiday celebrating her Majesty's platinum jubilee rolls around, our thoughts turn to street parties and boozy celebrations. Will you be getting festive with fizz? Patriotic with Pimm",https://www.thethreedrinkers.com/magazine-content/great-gin-for-the-jubilee,
top-jubilee-tipples-for-every-budget,Top Jubilee Tipples for Every Budget,2022-05-19,"Wine, Gin, Thursday Club","wine, gin, helena nicklin",382,0,0,,drop,,"Whether you’re having a street party or not, with a double bank holiday, chances are there will be some celebrating going on! Here are a few Jubilee- tastic drinkies that will suit every budget. La Gi",https://www.thethreedrinkers.com/magazine-content/top-jubilee-tipples-for-every-budget,
which-is-the-driest-style-of-prosecco-guide-to-prosecco-styles,Which is the Driest Prosecco Style? Your Guide for National Prosecco Day,2020-08-11,Wine,"wine, prosecco",1005,281,36621,26.1,drop,,"Words by Helena Nicklin We’re not always in the mood for a Hollywood blockbuster. Sometimes, a bit of daytime TV hits the spot perfectly: it’s accessible, cheaper than going to the cinema and you can ",https://www.thethreedrinkers.com/magazine-content/which-is-the-driest-style-of-prosecco-guide-to-prosecco-styles,
one-drink-three-ways-remy-martin-vsop-cognac,"One Drink, Three Ways: Remy Martin VSOP Cognac",2020-03-30,"Spirits, Cocktails","cognac, vsop cognac, remy martin",509,259,131957,25.2,,AidySmith,"One Drink, Three Ways is the signature feature by The Three Drinkers. Join The Three Drinkers’ Helena, Aidy and Colin as they take one bottle and create a trio of phenomenal serves which you can enjoy",https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-remy-martin-vsop-cognac,
classic-champagne-styles-for-spring,Classic Champagne styles for Spring,2022-04-28,TalkTV,"champagne, talktv, talkradio",834,0,0,,drop,,"To celebrate the official launch of talkTV, we’re going all out with a Champagne tasting! I’ve had the tough job of tasting through many different styles recently and have chosen a trio of tipples tha",https://www.thethreedrinkers.com/magazine-content/classic-champagne-styles-for-spring,
how-to-get-better-at-smelling-wine,3 Ways to Get Better at Smelling Wine,2022-04-26,"Guides, Wine","wine, aroma, wine tasting",859,0,0,,drop,,"[Partnership post with TasterPlace ] They say that the more you know about something, the more interesting you find it and nowhere is this more true than in the wonderful world of wine. The good news ",https://www.thethreedrinkers.com/magazine-content/how-to-get-better-at-smelling-wine,
how-long-does-alcohol-keep,How Long Does Alcohol Keep?,2023-06-27,"Guides, Spirits, Wine","How long does Gin last?, How long does Vodka last?, How long does Tequila last?",1719,220,177725,4.9,,AidySmith,"The shelf life of the half-finished bottles in your cupboard depends completely on the alcohol percentage, ingredients, and drink type. So, whatever leftover bottles you have sitting there, check in w",https://www.thethreedrinkers.com/magazine-content/how-long-does-alcohol-keep,
one-drink-three-ways-don-papa-rum-cocktails-the-three-drinkers,"One Drink, Three Ways: Don Papa Rum",2020-07-28,"Spirits, Cocktails","one drink three ways, whisky, cocktails",468,210,19749,7,,AidySmith,"One Drink, Three Ways is the signature feature by The Three Drinkers. Join The Three Drinkers’ Helena, Aidy and Colin as they take one bottle and create a trio of phenomenal serves which you can enjoy",https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-don-papa-rum-cocktails-the-three-drinkers,
talkradio-drinks-supporting-ukraine,talkRADIO: Drinks supporting Ukraine,2022-04-07,Thursday Club,"Dima’s Vodka, helena nicklin, mike graham",561,0,0,,drop,,"Today on talkRADIO, we raise a toast to some brands that are raising much needed funds to support charities helping those in need in Ukraine. From beer to vodka and even wine, there;’s something for e",https://www.thethreedrinkers.com/magazine-content/talkradio-drinks-supporting-ukraine,
nj1cy22bh8sm8zrdyaxelb734g7pg3,talkRADIO: Hot Cross Bun flavoured booze for Easter,2022-03-31,Thursday Club,"talkradio, talk radio, helena nicklin",291,0,0,,drop,,"Easter is coming! Cue a load of Easter-themed boozes on your shelves. Here are some I rather like and all with a Hot Cross Bun theme. Hot Cross Bun Cream Liqueur (35cl, 15%) Super indulgent, this lusc",https://www.thethreedrinkers.com/magazine-content/nj1cy22bh8sm8zrdyaxelb734g7pg3,
talk-radio-irish-drinks-st-patricks-day,talk RADIO: Irish Drinks for St Patrick's Day!,2022-03-17,"Whiskey, Spirits, Whisky","st patricks day, talk radio, mike graham",376,0,0,,drop,,"Happy St Patrick’s Day! And what an important one it is for us at 3DHQ as we launch our second global TV series on Amazon Prime: The Three Drinkers in Ireland ! Whoop Whoop! To celebrate the launch, A",https://www.thethreedrinkers.com/magazine-content/talk-radio-irish-drinks-st-patricks-day,
light-red-wine-styles,Lighter-bodied red wines styles to try,2022-02-24,Thursday Club,"wine, talk radio, mike graham",346,0,0,,drop,,"Not all red wines are the same and sometimes, we don’t necessarily want a massive, blockbusting fruit bomb. Here are some lesser known grape varieties and wine styles to look out for if you want somet",https://www.thethreedrinkers.com/magazine-content/light-red-wine-styles,
best-drinks-with-curry,Alternative Drinks To Have With Curry,2022-02-10,"Perfect Pairings, Wine","spice, aldi wine, talkradio",464,0,0,,drop,,"When it comes to Indian curry or Thai food over here in England, light, refreshing, not-too-gassy beer is a firm favourite. Brands like Kingfisher, Cobra, Singha and Jaipur are absolutely leading the ",https://www.thethreedrinkers.com/magazine-content/best-drinks-with-curry,
best-wine-spirits-for-valentines-day,Fun Drinks Choices for Valentine’s Day,2022-02-03,"Guides, Spirits, Wine","valentine's day, Valentine's day drinks, Ballycastle Red Velvet Cream Liqueur",844,0,0,,drop,,"Drinks picked by Helena Valentine's day, Galentine's day or ‘I'm just going to give myself some love’ day can be a stressful time with all the pressure to HAVE FUN. Fear not, though! I have donned my ",https://www.thethreedrinkers.com/magazine-content/best-wine-spirits-for-valentines-day,
thursday-club-with-talk-radio-italian-nebbiolo-barolo-barbaresco,Thursday Club with Talk Radio: Italian Nebbiolo,2022-01-26,Wine,"wine, nebbiolo, talk radio",251,0,0,,drop,,"This week, it’s Nebbiolo Three Ways! Nebbiolo is the grape that hails from the rolling, foggy hills of Piedmont in Northwest Italy. It makes red wines that can look pale and delicate like Pinot Noir, ",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talk-radio-italian-nebbiolo-barolo-barbaresco,
best-scotch-whisky-cocktails-for-burns-night,Three Scotch Whisky Cocktails for Burns Night,2022-01-20,"Whisky, Scotch, Cocktails","burns night, the three drinkers, scotch",481,0,0,,drop,,Burns night is upon us! 25th of January is the birthday of Scotland’s own ‘Shakespeare’: Robert ‘Rabbie’ Burns. This ‘Scottish bard’ was responsible for many books and poems including Auld Lang Syne.,https://www.thethreedrinkers.com/magazine-content/best-scotch-whisky-cocktails-for-burns-night,
talkradio-brands-that-do-good,TalkRADIO: Brands that do good,2022-01-13,Thursday Club,"talk radio, talkradio, chardonnay",412,0,0,,drop,,"With the world in a terrible state, it’s nice to know that having a lovely drink can also have a positive effect on our environment. Here are three delicious drinks that all have another positive purp",https://www.thethreedrinkers.com/magazine-content/talkradio-brands-that-do-good,
thursday-club-with-talkradio-tryanuary-wines,Thursday Club with talkRADIO: Tryanuary wines!,2022-01-06,,,393,0,0,,drop,,"Today on the Thursday Club with talkRADIO and Mike Graham, we try some wines that may not be your go-to varieties, but that deserve your attention! We have a Romanian native white grape, A French grap",https://www.thethreedrinkers.com/magazine-content/thursday-club-with-talkradio-tryanuary-wines,
classic-cheese-and-wine-matches,Classic Cheese and Wine Matches,2021-12-22,"Wine, Food, Perfect Pairings","wine, cheese, cheese and wine",833,0,0,,drop,,"It’s that time of year when we put together a mega cheeseboard and pick at it ALL DAY! For several days. What joy! With help from the brilliant folks at Paxton & Whitfield cheesemongers, I've chosen s",https://www.thethreedrinkers.com/magazine-content/classic-cheese-and-wine-matches,
how-to-put-together-the-perfect-cheeseboard,How to Put Together the Perfect Cheeseboard,2021-12-20,"Wine, Perfect Pairings, Food","cheese, helena nicklin, helena sips",688,0,0,,drop,,"As Helena looks into wine and cheese matching, she gets some tips from Hero Hirsh, head of retail at the award-winning cheesemonger, Paxton & Whitfield about how to put together the perfect cheeseboar",https://www.thethreedrinkers.com/magazine-content/how-to-put-together-the-perfect-cheeseboard,
the-best-no-and-low-alcohol-drinks,The best no and low alcohol drinks,2021-12-20,"Beer, No Low Drinks, Spirits","non alcohol, no low, no-lo",764,0,0,,drop,,"‘Tis the season to let your hair down, which, let’s be honest, usually means indulging in a fair few drinks of the alcoholic variety! For those of you who are looking to moderate or who would just rat",https://www.thethreedrinkers.com/magazine-content/the-best-no-and-low-alcohol-drinks,
best-affordable-white-wines-for-christmas,Affordable white wines for Christmas,2021-12-15,"Wine, Guides","wine, christmas, wine guide",562,0,0,,drop,,"The Christmas and New Year period is when we’ll be popping more corks than normal. Well, some of us will be! Thing is, we don't want to break the bank, but we still want the wine to be really darn goo",https://www.thethreedrinkers.com/magazine-content/best-affordable-white-wines-for-christmas,
great-value-red-wines-for-christmas,Great Value Red Wines for Christmas,2021-12-15,"Guides, Wine",Graffigna Reserve Malbec,532,0,0,,drop,,"It’s fair to say that we really are spoiled for choice with wine in the supermarkets these days. Some have really stepped up their game in recent years too, offering great quality, entry-level wines t",https://www.thethreedrinkers.com/magazine-content/great-value-red-wines-for-christmas,
talk-radio-helena-nicklin-festive-drinks,Thursday Club with Talk Radio: Festive Aperitifs,2021-12-09,Thursday Club,"wine, gin, flavoured gin",283,0,0,,drop,,"We’re feeling festive today on the Thursday Club! Here is an eclectic mix of delicious drinks, all perfect for this time of year. We’ve a flavoured gin, a spiced rum and a fortified wine. Hortus Rhuba",https://www.thethreedrinkers.com/magazine-content/talk-radio-helena-nicklin-festive-drinks,
best-cheap-bordeaux-wine,Thursday Club with Talk Radio: Accessible Bordeaux,2021-12-01,Thursday Club,"wine, bordeaux, helena nicklin",319,0,0,,drop,,Bordeaux is a word that is capable of striking fear into many people who want to get to know wine. We know it's good. We don’t necessarily know why. We know that it can be super expensive but we’ve al,https://www.thethreedrinkers.com/magazine-content/best-cheap-bordeaux-wine,
